Title,Year,Publisher,Genre,Console
Bonanza Bros.,1991,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Boogerman: A Pick and Flick Adventure,1994,"Interplay Productions, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Boxing Legends of the Ring,1993,Electro Brain Corp.,Sports,Sega Genesis
Bram Stoker's Dracula,1993,Sony Imagesoft,Action,Sega Genesis
Brave Battle Saga,1996,Piko Interactive LLC,Role-Playing (RPG),Sega Genesis
Brett Hull Hockey 95,1994,"Accolade, Inc.",Sports,Sega Genesis
Brian Lara Cricket '96,1996,"Codemasters Software Company Limited, The",Sports,Sega Genesis
Brutal: Paws of Fury,1994,"GameTek, Inc.",Action,Sega Genesis
Bubba 'N' Stix,1994,"Core Design Inc., Core Design Ltd.",Action,Sega Genesis
Bubble and Squeak,1994,Sun Corporation,Action,Sega Genesis
Bubsy II,1994,"Accolade, Inc.",Action,Sega Genesis
Bubsy in: Claws Encounters of the Furred Kind,1993,"Accolade, Inc.",Action,Sega Genesis
Buck Rogers: Countdown to Doomsday,1991,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.",Role-Playing (RPG),Sega Genesis
Budokan: The Martial Spirit,1990,"Electronic Arts, Inc.","Simulation, Sports",Sega Genesis
Bugs Bunny in Double Trouble,1996,"SEGA Enterprises Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Bulls vs. Blazers and the NBA Playoffs,1993,"Electronic Arts, Inc., Electronic Arts Victor",Sports,Sega Genesis
Bulls vs. Lakers and the NBA Playoffs,1992,"Electronic Arts, Inc., Electronic Arts Victor",Sports,Sega Genesis
Burning Force,1990,"Namco Limited, Namco Hometek Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Cadash,1992,Taito Corporation,"Action, Role-Playing (RPG)",Sega Genesis
Caliber.50,1991,"Mentrix Software, Inc.",Action,Sega Genesis
California Games,1991,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
Cal Ripken Jr. Baseball,1992,"Mindscape, Inc.",Sports,Sega Genesis
Cannon Fodder,1994,Virgin Interactive Entertainment (Europe) Ltd.,"Action, Strategy / tactics",Sega Genesis
Canon: Legends of the New Gods,1996,"Chuanpu Technologies, Piko Interactive LLC","Role-Playing (RPG), Strategy / tactics",Sega Genesis
Captain America and the Avengers,1992,"Data East USA, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Captain Planet and the Planeteers ,1992,"SEGA Enterprises Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Cascade,2015,Super Fighter Team,Puzzle,Sega Genesis
Castle of Illusion starring Mickey Mouse,1990,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Castlevania: Bloodlines,1994,"Konami Co., Ltd., Konami Deutschland GmbH, Konami of America, Inc., Konami (America), Inc.",Action,Sega Genesis
Centurion: Defender of Rome,1991,"Electronic Arts, Inc.",Strategy / tactics,Sega Genesis
Chakan,1992,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Championship Bowling,1993,"Mentrix Software, Inc., Visco Corporation",Sports,Sega Genesis
Championship Pool,1993,"Mindscape, Inc.",Sports,Sega Genesis
Championship Soccer '94,1994,Sony Imagesoft,Sports,Sega Genesis
Championship Soccer '94,1993,Sony Imagesoft,Sports,Sega Genesis
Champions World Class Soccer,1993,"Acclaim Japan, Ltd., Flying Edge, Inc., Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
Chase H.Q. II,1992,"Taito America Corporation, Taito Corporation","Action, Racing / driving",Sega Genesis
Chavez II,1993,American Softworks Corporation,Sports,Sega Genesis
Cheese Cat-Astrophe starring Speedy Gonzales,1995,SEGA Enterprises Ltd.,Action,Sega Genesis
Chelnov: Atomic Runner,1992,"Data East Corporation, Data East USA, Inc.",Action,Sega Genesis
The Chessmaster,1997,"SEGA of America, Inc.",Strategy / tactics,Sega Genesis
Chester Cheetah: Too Cool to Fool,1992,"Kaneko USA, Ltd.",Action,Sega Genesis
Chester Cheetah: Wild Wild Quest,1993,"Kaneko USA, Ltd.",Action,Sega Genesis
Chibi Maruko-chan: Waku Waku Shopping,1992,Namco Limited,Strategy / tactics,Sega Genesis
Chi Chi's Pro Challenge Golf,1993,"Soft Vision International Co., Ltd., Virgin Interactive Entertainment, Inc.",Sports,Sega Genesis
Chiki Chiki Boys,1992,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Ch?ky?kai Miracle Nine,1995,SEGA Enterprises Ltd.,Sports,Sega Genesis
Chuck Rock,1991,"Virgin Games, Ltd., Tec Toy Indústria de Brinquedos S.A., Virgin Games, Inc.",Action,Sega Genesis
Chuck Rock II: Son of Chuck,1993,"Core Design Ltd., Virgin Games, Inc., Virgin Interactive Entertainment (Japan), Inc.",Action,Sega Genesis
Classic Collection,1996,SEGA Enterprises Ltd.,Compilation,Sega Genesis
Clay Fighter,1994,"Interplay Productions, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Cliffhanger,1993,Sony Imagesoft,Action,Sega Genesis
Clue,1992,Parker Brothers,"Puzzle, Strategy / tactics",Sega Genesis
Coach K College Basketball,1995,"Electronic Arts, Inc.",Sports,Sega Genesis
Codemasters 2 in 1: Fantastic Dizzy + Cosmic Spacehead,1994,"Codemasters Software Company Limited, The",Compilation,Sega Genesis
College Football's National Championship,1994,"SEGA of America, Inc.",Sports,Sega Genesis
College Football's National Championship II,1995,"SEGA of America, Inc.",Sports,Sega Genesis
College Football USA 96,1995,"Electronic Arts, Inc.",Sports,Sega Genesis
College Football USA 97,1996,"Electronic Arts, Inc.",Sports,Sega Genesis
College Slam,1996,"Acclaim Entertainment, Inc.",Sports,Sega Genesis
Columns,1990,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.","Action, Puzzle",Sega Genesis
Columns III: Revenge of Columns,1993,"SEGA Enterprises Ltd., Vic Tokai, Inc.",Puzzle,Sega Genesis
Combat Cars,1994,"Accolade, Inc.","Action, Racing / driving",Sega Genesis
Comix Zone,1995,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
